,STATE,YRQTR,VNP46_SOL,VNP46_TOT
50,Connecticut,2015Q1,497555.0,58243
49,Massachusetts,2015Q1,946446.0,86004
48,New York,2015Q1,2154594.0,265493
2,Connecticut,2015Q2,296391.0,45780
1,Massachusetts,2015Q2,550486.0,71850
0,New York,2015Q2,1283187.0,147751
5,Connecticut,2015Q3,239468.0,42914
4,Massachusetts,2015Q3,427735.0,69443
3,New York,2015Q3,1073784.0,135724
8,Connecticut,2015Q4,265232.0,40887
7,Massachusetts,2015Q4,469643.0,64435
6,New York,2015Q4,1113774.0,113484
53,Connecticut,2016Q1,349529.0,44726
52,Massachusetts,2016Q1,667893.0,71491
51,New York,2016Q1,1592147.0,153660
11,Connecticut,2016Q2,161318.0,80659
10,Massachusetts,2016Q2,525795.0,70706
9,New York,2016Q2,1251742.0,144741
56,Connecticut,2016Q3,239918.0,41298
55,Massachusetts,2016Q3,437435.0,68040
54,New York,2016Q3,1069101.0,133637
14,Connecticut,2016Q4,250338.0,42881
13,Massachusetts,2016Q4,468750.0,68726
12,New York,2016Q4,1174003.0,130011
59,Connecticut,2017Q1,344544.0,42605
58,Massachusetts,2017Q1,645044.0,73037
57,New York,2017Q1,1548606.0,175539
17,Connecticut,2017Q2,285694.0,42298
16,Massachusetts,2017Q2,516459.0,70036
15,New York,2017Q2,1234845.0,137795
20,Connecticut,2017Q3,227332.0,40564
19,Massachusetts,2017Q3,409528.0,67298
18,New York,2017Q3,1032653.0,131603
23,Connecticut,2017Q4,331618.0,51179
22,Massachusetts,2017Q4,607775.0,76452
21,New York,2017Q4,1435123.0,168283
26,Connecticut,2018Q1,398383.0,47904
25,Massachusetts,2018Q1,758258.0,75883
24,New York,2018Q1,1911435.0,241110
29,Connecticut,2018Q2,271661.0,42101
28,Massachusetts,2018Q2,510703.0,67965
27,New York,2018Q2,1225398.0,139338
62,Connecticut,2018Q3,205897.0,36530
61,Massachusetts,2018Q3,391948.0,61907
60,New York,2018Q3,961371.0,119863
32,Connecticut,2018Q4,161318.0,80659
31,Massachusetts,2018Q4,450934.0,66510
30,New York,2018Q4,1125662.0,124644
35,Connecticut,2019Q1,332050.0,45396
34,Massachusetts,2019Q1,650082.0,71830
33,New York,2019Q1,1652744.0,208543
68,Connecticut,2019Q2,258959.0,41178
67,Massachusetts,2019Q2,495602.0,67183
66,New York,2019Q2,1172824.0,133640
65,Connecticut,2019Q3,219768.0,40491
64,Massachusetts,2019Q3,419104.0,67991
63,New York,2019Q3,1005479.0,129984
71,Connecticut,2019Q4,250683.0,39537
70,Massachusetts,2019Q4,510309.0,67394
69,New York,2019Q4,1191251.0,133506
38,Connecticut,2020Q1,295438.0,42810
37,Massachusetts,2020Q1,575777.0,70549
36,New York,2020Q1,1408542.0,156509
41,Connecticut,2020Q2,233494.0,36401
40,Massachusetts,2020Q2,438846.0,61131
39,New York,2020Q2,1100903.0,114210
44,Connecticut,2020Q3,207442.0,34834
43,Massachusetts,2020Q3,389039.0,59157
42,New York,2020Q3,979959.0,113191
47,Connecticut,2020Q4,249228.0,38559
46,Massachusetts,2020Q4,439812.0,62740
45,New York,2020Q4,1620960.0,810480
